source,paper_id,title,abstract,year,authors,venue,url,pdf_url,doi,citation_count,similarity,score
SemanticScholar,f08060425aa8a212d74185ee23a08329b89abcd2,Scientific discovery in the age of artificial intelligence,,2023,"['Hanchen Wang', 'Tianfan Fu', 'Yuanqi Du', 'Wenhao Gao', 'Kexin Huang', 'Ziming Liu', 'P. Chandak', 'Shengchao Liu', 'Peter Van Katwyk', 'Andreea Deac', 'Anima Anandkumar', 'K. Bergen', 'Carla P. Gomes', 'Shirley Ho', 'Pushmeet Kohli', 'Joan Lasenby', 'J. Leskovec', 'Tie-Yan Liu', 'A. Manrai', 'Debora S. Marks', 'Bharath Ramsundar', 'Le Song', 'Jimeng Sun', 'Jian Tang', 'Petar Velickovic', 'Max Welling', 'Linfeng Zhang', 'Connor W. Coley', 'Y. Bengio', 'M. Zitnik']",Nature,https://www.semanticscholar.org/paper/f08060425aa8a212d74185ee23a08329b89abcd2,,10.1038/s41586-023-06221-2,986,0.6063774228096008,0.7692437740850044
GoogleScholar,https://www.cell.com/cell/fulltext/S0092-8674(24)01070-5?&target=_blank,Empowering biomedical discovery with AI agents,"… major scientific discoveries, learn on their own, and acquire knowledge autonomously. … agents: domain-specific fine-tuning, in-context learning, and automatic generation of agentic roles…",2024,[],,https://www.cell.com/cell/fulltext/S0092-8674(24)01070-5?&target=_blank,,,181,0.7148457765579224,0.7667306636054116
SemanticScholar,33161a5a9b5dcb635b5a97475e6a6209a69ada7d,The AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery,"One of the grand challenges of artificial general intelligence is developing agents capable of conducting scientific research and discovering new knowledge. While frontier models have already been used as aides to human scientists, e.g. for brainstorming ideas, writing code, or prediction tasks, they still conduct only a small part of the scientific process. This paper presents the first comprehensive framework for fully automatic scientific discovery, enabling frontier large language models to perform research independently and communicate their findings. We introduce The AI Scientist, which generates novel research ideas, writes code, executes experiments, visualizes results, describes its findings by writing a full scientific paper, and then runs a simulated review process for evaluation. In principle, this process can be repeated to iteratively develop ideas in an open-ended fashion, acting like the human scientific community. We demonstrate its versatility by applying it to three distinct subfields of machine learning: diffusion modeling, transformer-based language modeling, and learning dynamics. Each idea is implemented and developed into a full paper at a cost of less than $15 per paper. To evaluate the generated papers, we design and validate an automated reviewer, which we show achieves near-human performance in evaluating paper scores. The AI Scientist can produce papers that exceed the acceptance threshold at a top machine learning conference as judged by our automated reviewer. This approach signifies the beginning of a new era in scientific discovery in machine learning: bringing the transformative benefits of AI agents to the entire research process of AI itself, and taking us closer to a world where endless affordable creativity and innovation can be unleashed on the world's most challenging problems. Our code is open-sourced at https://github.com/SakanaAI/AI-Scientist",2024,"['Chris Lu', 'Cong Lu', 'R. T. Lange', 'J. Foerster', 'Jeff Clune', 'David Ha']",arXiv.org,https://www.semanticscholar.org/paper/33161a5a9b5dcb635b5a97475e6a6209a69ada7d,,,308,0.66480952501297,0.7646979211644923
GoogleScholar,https://ieeexplore.ieee.org/abstract/document/10849561/,Agentic ai: Autonomous intelligence for complex goals–a comprehensive survey,"… Agentic AI, particularly in sectors with a scope for AI automation. Though built on basic AI principles, Agentic AI increases the scope of AI … Key findings highlight that Agentic AI represents …",2025,[],,https://ieeexplore.ieee.org/abstract/document/10849561/,,,209,0.6241414546966553,0.7442590609128659
GoogleScholar,https://arxiv.org/abs/2504.08066,The ai scientist-v2: Workshop-level automated scientific discovery via agentic tree search,"… how scientific discoveries are made. We introduce The AI Scientist-v2, an end-to-end agentic system … We anticipate that further advancements in autonomous scientific discovery …",2025,[],,https://arxiv.org/abs/2504.08066,,,40,0.7446621060371399,0.733586106294859
GoogleScholar,https://arxiv.org/abs/2503.08979,"Agentic ai for scientific discovery: A survey of progress, challenges, and future directions","… This survey aims to provide a comprehensive review of Agentic AI for scientific discovery. We categorize existing systems into autonomous and collaborative frameworks, detailing the …",2025,[],,https://arxiv.org/abs/2503.08979,,,31,0.7551805377006531,0.7280834914427448
SemanticScholar,1104bec9e7a0a3d9dba341ba8005f1b7350bc876,"Agentic AI for Scientific Discovery: A Survey of Progress, Challenges, and Future Directions","The integration of Agentic AI into scientific discovery marks a new frontier in research automation. These AI systems, capable of reasoning, planning, and autonomous decision-making, are transforming how scientists perform literature review, generate hypotheses, conduct experiments, and analyze results. This survey provides a comprehensive overview of Agentic AI for scientific discovery, categorizing existing systems and tools, and highlighting recent progress across fields such as chemistry, biology, and materials science. We discuss key evaluation metrics, implementation frameworks, and commonly used datasets to offer a detailed understanding of the current state of the field. Finally, we address critical challenges, such as literature review automation, system reliability, and ethical concerns, while outlining future research directions that emphasize human-AI collaboration and enhanced system calibration.",2025,"['Mourad Gridach', 'Jay Nanavati', 'Khaldoun Zine El Abidine', 'Lenon Mendes', 'C. Mack']",arXiv.org,https://www.semanticscholar.org/paper/1104bec9e7a0a3d9dba341ba8005f1b7350bc876,,10.48550/arXiv.2503.08979,18,0.770376980304718,0.7130453503197836
SemanticScholar,39983a80f111f7f6e793f02c5725a14bca76b32d,The AI Scientist-v2: Workshop-Level Automated Scientific Discovery via Agentic Tree Search,"AI is increasingly playing a pivotal role in transforming how scientific discoveries are made. We introduce The AI Scientist-v2, an end-to-end agentic system capable of producing the first entirely AI generated peer-review-accepted workshop paper. This system iteratively formulates scientific hypotheses, designs and executes experiments, analyzes and visualizes data, and autonomously authors scientific manuscripts. Compared to its predecessor (v1, Lu et al., 2024 arXiv:2408.06292), The AI Scientist-v2 eliminates the reliance on human-authored code templates, generalizes effectively across diverse machine learning domains, and leverages a novel progressive agentic tree-search methodology managed by a dedicated experiment manager agent. Additionally, we enhance the AI reviewer component by integrating a Vision-Language Model (VLM) feedback loop for iterative refinement of content and aesthetics of the figures. We evaluated The AI Scientist-v2 by submitting three fully autonomous manuscripts to a peer-reviewed ICLR workshop. Notably, one manuscript achieved high enough scores to exceed the average human acceptance threshold, marking the first instance of a fully AI-generated paper successfully navigating a peer review. This accomplishment highlights the growing capability of AI in conducting all aspects of scientific research. We anticipate that further advancements in autonomous scientific discovery technologies will profoundly impact human knowledge generation, enabling unprecedented scalability in research productivity and significantly accelerating scientific breakthroughs, greatly benefiting society at large. We have open-sourced the code at https://github.com/SakanaAI/AI-Scientist-v2 to foster the future development of this transformative technology. We also discuss the role of AI in science, including AI safety.",2025,"['Yutaro Yamada', 'R. T. Lange', 'Cong Lu', 'Shengran Hu', 'Chris Lu', 'J. Foerster', 'Jeff Clune', 'David Ha']",arXiv.org,https://www.semanticscholar.org/paper/39983a80f111f7f6e793f02c5725a14bca76b32d,,10.48550/arXiv.2504.08066,38,0.6814191937446594,0.6997930393950691
SemanticScholar,dbbcdb281ed6aa646af0402172cf8a7cfda85d5c,SciAgents: Automating Scientific Discovery Through Bioinspired Multi‐Agent Intelligent Graph Reasoning,"A key challenge in artificial intelligence (AI) is the creation of systems capable of autonomously advancing scientific understanding by exploring novel domains, identifying complex patterns, and uncovering previously unseen connections in vast scientific data. In this work, SciAgents, an approach that leverages three core concepts is presented: (1) large‐scale ontological knowledge graphs to organize and interconnect diverse scientific concepts, (2) a suite of large language models (LLMs) and data retrieval tools, and (3) multi‐agent systems with in‐situ learning capabilities. Applied to biologically inspired materials, SciAgents reveals hidden interdisciplinary relationships that were previously considered unrelated, achieving a scale, precision, and exploratory power that surpasses human research methods. The framework autonomously generates and refines research hypotheses, elucidating underlying mechanisms, design principles, and unexpected material properties. By integrating these capabilities in a modular fashion, the system yields material discoveries, critiques and improves existing hypotheses, retrieves up‐to‐date data about existing research, and highlights strengths and limitations. This is achieved by harnessing a “swarm of intelligence” similar to biological systems, providing new avenues for discovery. How this model accelerates the development of advanced materials by unlocking Nature's design principles, resulting in a new biocomposite with enhanced mechanical properties and improved sustainability through energy‐efficient production is shown.",2024,"['Alireza Ghafarollahi', 'Markus J. Buehler']",Advances in Materials,https://www.semanticscholar.org/paper/dbbcdb281ed6aa646af0402172cf8a7cfda85d5c,,10.1002/adma.202413523,36,0.7039223909378052,0.6920920137899198
SemanticScholar,e366b47c98cb922d7d5b536ca776dde8333b4bdc,DISCOVERYWORLD: A Virtual Environment for Developing and Evaluating Automated Scientific Discovery Agents,"Automated scientific discovery promises to accelerate progress across scientific domains. However, developing and evaluating an AI agent's capacity for end-to-end scientific reasoning is challenging as running real-world experiments is often prohibitively expensive or infeasible. In this work we introduce DISCOVERYWORLD, the first virtual environment for developing and benchmarking an agent's ability to perform complete cycles of novel scientific discovery. DISCOVERYWORLD contains a variety of different challenges, covering topics as diverse as radioisotope dating, rocket science, and proteomics, to encourage development of general discovery skills rather than task-specific solutions. DISCOVERYWORLD itself is an inexpensive, simulated, text-based environment (with optional 2D visual overlay). It includes 120 different challenge tasks, spanning eight topics each with three levels of difficulty and several parametric variations. Each task requires an agent to form hypotheses, design and run experiments, analyze results, and act on conclusions. DISCOVERYWORLD further provides three automatic metrics for evaluating performance, based on (a) task completion, (b) task-relevant actions taken, and (c) the discovered explanatory knowledge. We find that strong baseline agents, that perform well in prior published environments, struggle on most DISCOVERYWORLD tasks, suggesting that DISCOVERYWORLD captures some of the novel challenges of discovery, and thus that DISCOVERYWORLD may help accelerate near-term development and assessment of scientific discovery competency in agents. Code available at: www.github.com/allenai/discoveryworld",2024,"['Peter Alexander Jansen', 'Marc-Alexandre Côté', 'Tushar Khot', 'Erin Bransom', 'Bhavana Dalvi', 'Bodhisattwa Prasad Majumder', 'Oyvind Tafjord', 'Peter Clark']",Neural Information Processing Systems,https://www.semanticscholar.org/paper/e366b47c98cb922d7d5b536ca776dde8333b4bdc,,10.48550/arXiv.2406.06769,34,0.636249840259552,0.6558427196248311
